Running SLURM prolog script on red180.cluster.local
===============================================================================
Job started on Thu Jun 13 17:09:21 BST 2024
Job ID          : 6124615
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_2.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red180
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
DDQN_game_NameThisGame NameThisGame avg score 2640.00 total_steps 85200 fps 120.31
DDQN_game_NameThisGame NameThisGame avg score 2640.00 total_steps 86400 fps 96.72
DDQN_game_NameThisGame NameThisGame avg score 2693.55 total_steps 87600 fps 113.30
DDQN_game_NameThisGame NameThisGame avg score 2693.55 total_steps 88800 fps 90.57
DDQN_game_NameThisGame NameThisGame avg score 2683.12 total_steps 90000 fps 75.08
DDQN_game_NameThisGame NameThisGame avg score 2683.12 total_steps 91200 fps 85.70
DDQN_game_NameThisGame NameThisGame avg score 2683.12 total_steps 92400 fps 73.55
DDQN_game_NameThisGame NameThisGame avg score 2740.61 total_steps 93600 fps 97.83
DDQN_game_NameThisGame NameThisGame avg score 2740.61 total_steps 94800 fps 121.26
DDQN_game_NameThisGame NameThisGame avg score 2714.71 total_steps 96000 fps 95.54
DDQN_game_NameThisGame NameThisGame avg score 2714.71 total_steps 97200 fps 100.88
DDQN_game_NameThisGame NameThisGame avg score 2714.71 total_steps 98400 fps 77.92
DDQN_game_NameThisGame NameThisGame avg score 2738.86 total_steps 99600 fps 94.80
DDQN_game_NameThisGame NameThisGame avg score 2678.33 total_steps 100800 fps 91.93
DDQN_game_NameThisGame NameThisGame avg score 2643.51 total_steps 102000 fps 85.76
DDQN_game_NameThisGame NameThisGame avg score 2643.51 total_steps 103200 fps 115.88
DDQN_game_NameThisGame NameThisGame avg score 2655.00 total_steps 104400 fps 104.64
DDQN_game_NameThisGame NameThisGame avg score 2655.00 total_steps 105600 fps 92.93
DDQN_game_NameThisGame NameThisGame avg score 2638.97 total_steps 106800 fps 105.36
DDQN_game_NameThisGame NameThisGame avg score 2638.97 total_steps 108000 fps 96.31
DDQN_game_NameThisGame NameThisGame avg score 2638.97 total_steps 109200 fps 92.22
DDQN_game_NameThisGame NameThisGame avg score 2668.00 total_steps 110400 fps 97.18
DDQN_game_NameThisGame NameThisGame avg score 2668.00 total_steps 111600 fps 84.38
DDQN_game_NameThisGame NameThisGame avg score 2686.10 total_steps 112800 fps 82.29
DDQN_game_NameThisGame NameThisGame avg score 2686.10 total_steps 114000 fps 108.22
DDQN_game_NameThisGame NameThisGame avg score 2689.76 total_steps 115200 fps 87.26
DDQN_game_NameThisGame NameThisGame avg score 2689.76 total_steps 116400 fps 110.94
DDQN_game_NameThisGame NameThisGame avg score 2689.76 total_steps 117600 fps 89.19
DDQN_game_NameThisGame NameThisGame avg score 2690.70 total_steps 118800 fps 91.65
DDQN_game_NameThisGame NameThisGame avg score 2690.70 total_steps 120000 fps 81.14
DDQN_game_NameThisGame NameThisGame avg score 2690.70 total_steps 121200 fps 89.38
DDQN_game_NameThisGame NameThisGame avg score 2717.50 total_steps 122400 fps 87.33
DDQN_game_NameThisGame NameThisGame avg score 2693.11 total_steps 123600 fps 88.44
DDQN_game_NameThisGame NameThisGame avg score 2663.26 total_steps 124800 fps 75.29
DDQN_game_NameThisGame NameThisGame avg score 2663.26 total_steps 126000 fps 116.34
DDQN_game_NameThisGame NameThisGame avg score 2663.26 total_steps 127200 fps 97.49
DDQN_game_NameThisGame NameThisGame avg score 2684.89 total_steps 128400 fps 107.38
DDQN_game_NameThisGame NameThisGame avg score 2655.42 total_steps 129600 fps 88.65
DDQN_game_NameThisGame NameThisGame avg score 2655.42 total_steps 130800 fps 87.97
DDQN_game_NameThisGame NameThisGame avg score 2655.42 total_steps 132000 fps 74.42
DDQN_game_NameThisGame NameThisGame avg score 2655.42 total_steps 133200 fps 98.23
DDQN_game_NameThisGame NameThisGame avg score 2694.29 total_steps 134400 fps 89.65
DDQN_game_NameThisGame NameThisGame avg score 2694.29 total_steps 135600 fps 94.52
