Running SLURM prolog script on red232.cluster.local
===============================================================================
Job started on Wed Jun 19 15:54:31 BST 2024
Job ID          : 6140878
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red232
Job Output Follows ...
===============================================================================
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2274.62 total_steps 33600 fps 1441.28
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2610.24 total_steps 116400 fps 163.06
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2220.00 total_steps 34800 fps 1442.59
NStep3DQN_game_NameThisGame NameThisGame avg score 2375.00 total_steps 118800 fps 187.70
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2220.00 total_steps 36000 fps 1542.74
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2139.33 total_steps 37200 fps 1451.62
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2139.33 total_steps 38400 fps 1494.56
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2173.12 total_steps 39600 fps 1413.92
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2173.12 total_steps 40800 fps 1523.11
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2207.65 total_steps 42000 fps 1375.09
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2353.91 total_steps 120000 fps 146.56
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2207.65 total_steps 43200 fps 1507.07
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2207.65 total_steps 44400 fps 1539.70
NStep3DQN_game_NameThisGame NameThisGame avg score 2375.00 total_steps 120000 fps 176.61
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2282.78 total_steps 45600 fps 1446.85
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2610.24 total_steps 117600 fps 160.19
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2282.78 total_steps 46800 fps 1520.17
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2282.78 total_steps 48000 fps 1533.98
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2303.16 total_steps 49200 fps 1437.94
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2260.50 total_steps 50400 fps 1440.80
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2260.50 total_steps 51600 fps 1502.57
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2248.57 total_steps 52800 fps 1428.23
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2248.57 total_steps 54000 fps 1528.10
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2238.18 total_steps 55200 fps 1451.82
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2610.24 total_steps 118800 fps 172.34
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2238.18 total_steps 56400 fps 1506.63
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2353.91 total_steps 121200 fps 125.58
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2225.22 total_steps 57600 fps 1432.99
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2225.22 total_steps 58800 fps 1534.41
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2242.50 total_steps 60000 fps 1398.53
NStep3DQN_game_NameThisGame NameThisGame avg score 2417.56 total_steps 121200 fps 113.98
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2242.50 total_steps 61200 fps 1504.64
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2242.50 total_steps 62400 fps 1495.91
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2265.20 total_steps 63600 fps 1457.80
