Running SLURM prolog script on red294.cluster.local
===============================================================================
Job started on Fri Jun 28 23:28:07 BST 2024
Job ID          : 6175732
Job name        : Phoenix_3
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Phoenix_3.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red294
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Phoenix
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 340.00 total_steps 1200 fps 1903.92
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 1395.00 total_steps 2400 fps 2084.13
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 1205.00 total_steps 3600 fps 1977.14
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 1124.00 total_steps 4800 fps 2098.37
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 1075.00 total_steps 6000 fps 2076.70
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 987.14 total_steps 7200 fps 2128.87
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 921.25 total_steps 8400 fps 2119.90
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 921.25 total_steps 9600 fps 2241.46
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 823.00 total_steps 10800 fps 2109.63
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 845.45 total_steps 12000 fps 2041.53
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 878.33 total_steps 13200 fps 2062.16
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 931.54 total_steps 14400 fps 2000.87
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 899.29 total_steps 15600 fps 1926.33
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 868.67 total_steps 16800 fps 2107.25
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 835.62 total_steps 18000 fps 2173.88
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 835.62 total_steps 19200 fps 2193.59
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 902.94 total_steps 20400 fps 2095.86
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 882.78 total_steps 21600 fps 2107.83
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 847.50 total_steps 22800 fps 2069.67
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 824.29 total_steps 24000 fps 2119.00
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 824.29 total_steps 25200 fps 2209.80
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 795.22 total_steps 26400 fps 2053.59
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 772.92 total_steps 27600 fps 2099.49
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 831.60 total_steps 28800 fps 2100.29
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 845.38 total_steps 30000 fps 2010.23
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 869.63 total_steps 31200 fps 2068.48
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 848.28 total_steps 32400 fps 2107.19
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 836.67 total_steps 33600 fps 2099.65
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 902.50 total_steps 34800 fps 2019.35
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 902.50 total_steps 36000 fps 2160.40
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 904.55 total_steps 37200 fps 2109.29
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 904.55 total_steps 38400 fps 2184.77
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 885.00 total_steps 39600 fps 2160.84
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 872.86 total_steps 40800 fps 2147.27
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 861.94 total_steps 42000 fps 2150.24
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 836.58 total_steps 43200 fps 2109.28
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 897.18 total_steps 44400 fps 2078.49
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 884.75 total_steps 45600 fps 2137.35
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 876.83 total_steps 46800 fps 2125.83
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 887.86 total_steps 48000 fps 2065.01
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 878.37 total_steps 49200 fps 2087.49
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 859.33 total_steps 50400 fps 2075.86
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 839.79 total_steps 51600 fps 2127.88
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 829.79 total_steps 52800 fps 2158.18
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 810.60 total_steps 54000 fps 2117.31
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 774.40 total_steps 55200 fps 2124.80
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 757.20 total_steps 56400 fps 2084.58
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 777.40 total_steps 57600 fps 1999.67
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 774.00 total_steps 58800 fps 2108.22
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 773.20 total_steps 60000 fps 2123.50
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 769.60 total_steps 61200 fps 2156.68
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 769.60 total_steps 62400 fps 2180.56
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 769.60 total_steps 63600 fps 2248.33
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 821.60 total_steps 64800 fps 2047.27
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 821.60 total_steps 66000 fps 2139.57
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 821.60 total_steps 67200 fps 2245.09
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 808.60 total_steps 68400 fps 2173.59
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 795.00 total_steps 69600 fps 2152.09
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 774.80 total_steps 70800 fps 2126.93
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 826.60 total_steps 72000 fps 2088.94
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 827.00 total_steps 73200 fps 2138.12
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 791.40 total_steps 74400 fps 2096.36
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 791.40 total_steps 75600 fps 2197.43
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 789.80 total_steps 76800 fps 2024.23
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 823.00 total_steps 78000 fps 2134.42
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 816.60 total_steps 79200 fps 2136.75
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 842.00 total_steps 80400 fps 711.64
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 801.20 total_steps 81600 fps 353.44
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 801.20 total_steps 82800 fps 337.82
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 765.00 total_steps 84000 fps 353.19
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 761.80 total_steps 85200 fps 351.56
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 755.40 total_steps 86400 fps 352.96
NStep3DQN_fc1_64_game_Phoenix Phoenix avg score 753.40 total_steps 87600 fps 350.52
