Running SLURM prolog script on red040.cluster.local
===============================================================================
Job started on Sat Jun 29 00:06:18 BST 2024
Job ID          : 6175762
Job name        : NameThisGame_5
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red040
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2357.39 total_steps 61200 fps 1417.09
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2357.39 total_steps 62400 fps 1570.22
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2369.58 total_steps 63600 fps 1445.57
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2369.58 total_steps 64800 fps 1564.19
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2351.20 total_steps 66000 fps 1452.48
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2351.20 total_steps 67200 fps 1524.68
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2351.20 total_steps 68400 fps 1552.14
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2382.31 total_steps 69600 fps 1462.74
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2382.31 total_steps 70800 fps 1542.65
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2374.44 total_steps 72000 fps 1459.79
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2374.44 total_steps 73200 fps 1542.07
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2374.44 total_steps 74400 fps 1564.98
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2406.07 total_steps 75600 fps 1474.49
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2406.07 total_steps 76800 fps 1545.26
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2406.07 total_steps 78000 fps 1574.12
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2446.55 total_steps 79200 fps 1445.68
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2446.55 total_steps 80400 fps 599.18
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2446.55 total_steps 81600 fps 293.54
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2481.00 total_steps 82800 fps 255.38
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2481.00 total_steps 84000 fps 257.54
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2460.32 total_steps 85200 fps 228.13
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2460.32 total_steps 86400 fps 220.79
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2458.12 total_steps 87600 fps 230.14
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2458.12 total_steps 88800 fps 185.67
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2458.12 total_steps 90000 fps 171.85
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2492.42 total_steps 91200 fps 171.42
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2492.42 total_steps 92400 fps 196.70
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2492.42 total_steps 93600 fps 177.85
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2510.59 total_steps 94800 fps 178.00
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2510.59 total_steps 96000 fps 207.11
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2494.86 total_steps 97200 fps 145.19
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2494.86 total_steps 98400 fps 221.68
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2492.50 total_steps 99600 fps 183.69
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2492.50 total_steps 100800 fps 176.29
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2485.41 total_steps 102000 fps 183.78
NStep3DQN_lr_1e5_update_target_1000_game_NameThisGame NameThisGame avg score 2485.41 total_steps 103200 fps 150.40
