Running SLURM prolog script on red271.cluster.local
===============================================================================
Job started on Sat Jun  8 17:11:01 BST 2024
Job ID          : 6111291
Job name        : NStep3DQN_game_Phoenix
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_Phoenix.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red271
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: Phoenix
NStep3DQN_game_Phoenix Phoenix avg score 821.20 total_steps 82800 fps 86.86
NStep3DQN_game_Phoenix Phoenix avg score 849.80 total_steps 84000 fps 75.11
NStep3DQN_game_Phoenix Phoenix avg score 913.60 total_steps 85200 fps 72.44
NStep3DQN_game_Phoenix Phoenix avg score 945.40 total_steps 86400 fps 66.94
NStep3DQN_game_Phoenix Phoenix avg score 985.60 total_steps 87600 fps 63.92
NStep3DQN_game_Phoenix Phoenix avg score 984.40 total_steps 88800 fps 67.97
NStep3DQN_game_Phoenix Phoenix avg score 984.40 total_steps 90000 fps 73.99
NStep3DQN_game_Phoenix Phoenix avg score 994.20 total_steps 91200 fps 65.78
NStep3DQN_game_Phoenix Phoenix avg score 944.40 total_steps 92400 fps 69.76
NStep3DQN_game_Phoenix Phoenix avg score 977.80 total_steps 93600 fps 68.87
NStep3DQN_game_Phoenix Phoenix avg score 1027.00 total_steps 94800 fps 59.71
NStep3DQN_game_Phoenix Phoenix avg score 1031.80 total_steps 96000 fps 63.89
NStep3DQN_game_Phoenix Phoenix avg score 1040.60 total_steps 97200 fps 66.80
NStep3DQN_game_Phoenix Phoenix avg score 1036.20 total_steps 98400 fps 76.61
NStep3DQN_game_Phoenix Phoenix avg score 1029.80 total_steps 99600 fps 67.57
NStep3DQN_game_Phoenix Phoenix avg score 1007.20 total_steps 100800 fps 66.82
NStep3DQN_game_Phoenix Phoenix avg score 1012.80 total_steps 102000 fps 77.42
NStep3DQN_game_Phoenix Phoenix avg score 1089.80 total_steps 103200 fps 59.98
NStep3DQN_game_Phoenix Phoenix avg score 1055.00 total_steps 104400 fps 79.17
NStep3DQN_game_Phoenix Phoenix avg score 1105.60 total_steps 105600 fps 71.39
NStep3DQN_game_Phoenix Phoenix avg score 1173.00 total_steps 106800 fps 64.61
NStep3DQN_game_Phoenix Phoenix avg score 1174.40 total_steps 108000 fps 60.17
NStep3DQN_game_Phoenix Phoenix avg score 1225.00 total_steps 109200 fps 56.50
NStep3DQN_game_Phoenix Phoenix avg score 1183.60 total_steps 110400 fps 61.11
NStep3DQN_game_Phoenix Phoenix avg score 1183.60 total_steps 111600 fps 56.51
NStep3DQN_game_Phoenix Phoenix avg score 1245.00 total_steps 112800 fps 57.31
NStep3DQN_game_Phoenix Phoenix avg score 1236.60 total_steps 114000 fps 62.71
NStep3DQN_game_Phoenix Phoenix avg score 1279.20 total_steps 115200 fps 70.41
NStep3DQN_game_Phoenix Phoenix avg score 1293.40 total_steps 116400 fps 55.56
NStep3DQN_game_Phoenix Phoenix avg score 1260.40 total_steps 117600 fps 65.18
NStep3DQN_game_Phoenix Phoenix avg score 1264.00 total_steps 118800 fps 62.18
NStep3DQN_game_Phoenix Phoenix avg score 1312.80 total_steps 120000 fps 64.24
NStep3DQN_game_Phoenix Phoenix avg score 1276.80 total_steps 121200 fps 65.12
NStep3DQN_game_Phoenix Phoenix avg score 1319.60 total_steps 122400 fps 68.86
NStep3DQN_game_Phoenix Phoenix avg score 1323.60 total_steps 123600 fps 66.48
