Running SLURM prolog script on red317.cluster.local
===============================================================================
Job started on Fri Jun 28 23:32:53 BST 2024
Job ID          : 6175740
Job name        : NameThisGame_4
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_4.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red317
Job Output Follows ...
===============================================================================
Obtaining file:///mainfs/home/kv2e21/RLFromTheGround
Playing Game: NameThisGame
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 3590.00 total_steps 4800 fps 1502.04
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 3590.00 total_steps 6000 fps 1573.49
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2790.00 total_steps 7200 fps 1432.06
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2790.00 total_steps 8400 fps 1606.57
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2856.67 total_steps 9600 fps 1443.37
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2856.67 total_steps 10800 fps 1583.22
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2856.67 total_steps 12000 fps 1538.43
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2787.50 total_steps 13200 fps 1420.39
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2787.50 total_steps 14400 fps 1578.50
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2678.00 total_steps 15600 fps 1440.02
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2420.00 total_steps 16800 fps 1458.25
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2420.00 total_steps 18000 fps 1559.29
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2420.00 total_steps 19200 fps 1558.54
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2554.29 total_steps 20400 fps 1446.62
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2554.29 total_steps 21600 fps 1533.33
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2554.29 total_steps 22800 fps 1569.81
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2690.00 total_steps 24000 fps 1438.61
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2690.00 total_steps 25200 fps 1538.43
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2577.78 total_steps 26400 fps 1445.91
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2453.00 total_steps 27600 fps 1470.40
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2299.09 total_steps 28800 fps 1465.05
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2299.09 total_steps 30000 fps 1593.00
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2276.67 total_steps 31200 fps 1436.08
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2276.67 total_steps 32400 fps 1557.73
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2263.08 total_steps 33600 fps 1447.58
NStep3DQN_fc1_128_lr_1e5_game_NameThisGame NameThisGame avg score 2263.08 total_steps 34800 fps 1535.55
